Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
191.36250312836654,194.37773007418247,191.3226896328841,192.9447479248047,60133900,0.0,0.0,
194.06924615918857,194.79568302432682,192.8850451968675,194.22845458984375,42355600,0.0,0.0,
194.4672860626603,195.42261254918643,193.39254945946814,193.55177307128906,53631300,0.0,0.0,
194.2682881337411,195.31317233681816,192.1685739447696,193.22340393066406,54822100,0.0,0.0,
193.32290534776368,193.8105067973861,191.00426266727368,191.48191833496094,44594000,0.0,0.0,193.0860595703125
191.07393711733675,191.26301328826548,188.6557907655265,190.79530334472656,47145600,0.0,0.0,192.6561706542969
190.00913152540437,190.86493945980703,186.55604725857967,187.12326049804688,55859400,0.0,0.0,191.2351318359375
186.12815142243116,186.18787167030365,183.45127824224116,183.5010223388672,55467800,0.0,0.0,189.22498168945313
183.09303209854838,186.03859323945602,182.9238626911125,185.94903564453125,64885400,0.0,0.0,187.77010803222657
178.98316607734097,186.4167503347965,178.37613927772276,184.9439697265625,102518000,0.0,0.0,186.46251831054687
187.23273981487074,188.3273832549743,184.9340037750539,186.76502990722656,69668800,0.0,0.0,185.65646362304688
185.94902917871246,188.38708201253658,185.8594715869018,188.37713623046875,43490800,0.0,0.0,185.90723876953126
189.71060210551596,190.118606941087,187.69049986083044,188.48660278320312,53439000,0.0,0.0,186.90435485839845
188.46670752859183,188.61597019246477,186.4366593779137,187.4019317626953,40962000,0.0,0.0,187.19493408203124
187.96983733269659,189.30501766665418,187.32218691688763,188.16912841796875,45155200,0.24,0.0,187.8399658203125
187.7406910525987,187.9897897322466,186.1165627960856,186.4752655029297,41781900,0.0,0.0,187.78201293945312
185.10024282819998,185.53865891732192,182.84838113476025,184.37286376953125,56529500,0.0,0.0,186.9811584472656
184.6518638454696,184.8610982078661,181.78224238811126,183.48606872558594,54630500,0.0,0.0,185.98105163574218
182.88824837462906,183.82486181575325,180.69618309757163,183.19712829589844,65434500,0.0,0.0,185.1400909423828
182.75869330174024,184.18354546694673,181.0150027746939,181.65269470214844,49701400,0.0,0.0,183.83680419921876
181.134577279735,181.77226924950583,179.3510375405212,180.90541076660156,53665600,0.0,0.0,182.72283325195312
181.28405435734408,182.23062628266825,180.00867035619171,181.66268920898438,41529700,0.0,0.0,182.18079833984376
182.81850104532418,184.29317619439553,181.80218936609842,183.70529174804688,52292200,0.0,0.0,182.22464294433593
184.3429666556088,184.37285727847149,181.57299077597804,181.86195373535156,45119700,0.0,0.0,181.95760803222657
181.5829591995408,182.10107345002203,179.99868021477354,180.50685119628906,40867400,0.0,0.0,181.7284393310547
180.4470750372319,183.25690001064538,178.9126187804792,181.9715576171875,54318900,0.0,0.0,181.94166870117186
181.85199678307725,182.45979817680953,179.48058766314844,180.76593017578125,48953900,0.0,0.0,181.76231689453124
180.61647239906964,181.91178855608587,178.88274013933005,180.0983428955078,136682600,0.0,0.0,181.04092712402343
178.9026640457765,179.87912655443867,176.74048946042234,179.01226806640625,73488000,0.0,0.0,180.4709899902344
175.5149217629811,176.26221779411006,173.1634296435442,174.46871948242188,81510100,0.0,0.0,179.26336364746095
170.14434479927544,171.4197287337638,169.00845550750375,169.50665283203125,95132400,0.0,0.0,176.7703826904297
170.44326190896186,170.6226208472031,168.0718378391885,168.51025390625,68587700,0.0,0.0,174.31924743652343
168.5401391424349,170.1144444221278,167.88253026663398,168.39068603515625,71765100,0.0,0.0,171.97771606445312
168.39069767067738,173.0737495355564,168.33091642363513,170.1144561767578,76114600,0.0,0.0,170.19815368652343
172.31649942978052,173.75131021022753,171.42970876738985,172.12718200683594,60139500,0.0,0.0,169.72984619140624
172.52572483722957,173.40255698056936,170.39344092810595,172.60543823242188,59825400,0.0,0.0,170.34960327148437
172.14711771653415,172.56560166885345,170.14435462584885,170.51303100585938,52488700,0.0,0.0,170.75015869140626
172.286609864896,173.68155635236576,171.4297098215142,172.37628173828125,72913500,0.0,0.0,171.54727783203126
170.55286572568298,171.9976348876953,169.67603359258842,171.9976348876953,121664700,0.0,0.0,171.92391357421874
174.93702524630143,177.06930930187292,172.89441306506424,173.09368896484375,75604200,0.0,0.0,172.11721496582032
173.71144297319321,175.9732631292534,172.40616838919217,175.44517517089844,55215200,0.0,0.0,172.68516235351564
175.08647190626633,178.0258331298828,174.45873840154812,178.0258331298828,53423100,0.0,0.0,174.1877227783203
176.41166541450514,176.85008146724155,170.2240483134294,170.75213623046875,106181300,0.0,0.0,173.8628936767578
171.14074502028382,172.42610267352754,169.44687710249696,171.65887451171875,71106600,0.0,0.0,173.7951416015625
169.9550500090239,171.32010587263267,168.83907761478048,170.23403930664062,54288300,0.0,0.0,173.22321166992188
169.38709229314748,170.80197088667242,168.96860836017046,169.09814453125,57388400,0.0,0.0,171.95380554199218
169.79562681694486,172.97412838637234,169.4967053620682,172.68516540527344,60273300,0.0,0.0,170.88567199707032
171.1307861915964,171.60905138066403,169.8952513157474,170.86175537109375,65672700,0.0,0.0,170.9075958251953
170.5727983430009,170.63257958791667,168.86895684402387,169.41697692871094,46240500,0.0,0.0,170.45921630859374
168.47041766713258,168.72947481572177,167.62347609078947,168.2312774658203,49329500,0.0,0.0,170.05866394042968
168.1814453345995,170.0646306043195,167.97221097339488,169.03834533691406,47691700,0.0,0.0,170.0467041015625
169.676035612487,171.30016373186453,168.2113494873047,168.2113494873047,53704400,0.0,0.0,169.15194091796874
168.97857114439864,169.77568993392828,168.3408791535302,168.96861267089844,42055200,0.0,0.0,168.7733123779297
